no_                 ;order type code;Units;Order Date             ;Item category code;Brand Code
938959;ZT             ;                460.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994922;ZT             ;                4400.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994282;ZT             ;                450.00000000000000000000;2020-02-20 00:00:00.000;B                 ;B4
994955;ZT             ;                   .00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994468;ZT             ;                 120.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994936;ZT             ;                 50.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994999;ZT             ;                 50.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994966;ZT             ;                 50.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994934;ZT             ;                 50.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994952;ZT             ;                 50.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994306;ZT             ;                 120.00000000000000000000;2020-02-20 00:00:00.000;B                 ;B4
925839;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994938;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994939;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994960;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
386953;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
388869;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
389238;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
389809;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B4
394236;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
394899;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
394889;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
392353;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
399548;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
904980;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902038;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902095;ZT             ;                 400.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902495;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902298;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
902300;ZT             ;                 44.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
902322;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902322;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902328;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902352;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902382;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902923;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902929;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
902966;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
909993;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
945285;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
945343;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
945629;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
945242;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B4
945298;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
945253;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
946295;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
946989;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
946990;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
946503;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
948289;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
948822;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
948940;ZT             ;                 46.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949092;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949029;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949262;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
994968;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994983;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994532;ZT             ;                 50.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
909350;ZB             ;                 440.00000000000000000000;2019-06-14 00:00:00.000;B                 ;B8
909359;ZB             ;                 44.00000000000000000000;2019-06-14 00:00:00.000;B                 ;B8
994653;ZT             ;               400540.00000000000000000000;2020-01-10 00:00:00.000;B                 ;B1
994696;ZT             ;               4740.00000000000000000000;2020-02-28 00:00:00.000;B                 ;B1
945048;ZK             ;                500.00000000000000000000;2020-02-10 00:00:00.000;B                 ;B1
994632;ZT             ;                4120.00000000000000000000;2020-03-02 00:00:00.000;B                 ;B1
994694;ZT             ;                1250.00000000000000000000;2020-04-01 00:00:00.000;B                 ;B1
994692;ZT             ;                650.00000000000000000000;2020-04-03 00:00:00.000;B                 ;B1
994654;ZT             ;                600.00000000000000000000;2020-04-06 00:00:00.000;B                 ;B1
945048;ZS             ;                4120.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994638;ZS             ;                400.00000000000000000000;2020-02-28 00:00:00.000;B                 ;B1
994654;ZS             ;                4120.00000000000000000000;2020-04-03 00:00:00.000;B                 ;B1
940923;ZT             ;                 60.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994523;ZT             ;                400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994529;ZT             ;                 120.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994522;ZT             ;                 60.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994528;ZT             ;                 120.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994589;ZT             ;                 120.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994649;ZT             ;                 40.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994624;ZT             ;                400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994623;ZT             ;                 120.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994622;ZT             ;                 60.00000000000000000000;2020-04-01 00:00:00.000;K                 ;B9
994629;ZT             ;                 120.00000000000000000000;2020-04-16 00:00:00.000;K                 ;B9
945048;ZT             ;                300.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994695;ZT             ;                300.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994664;ZT             ;                400.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994626;ZT             ;                300.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B1
994692;ZT             ;                4000.00000000000000000000;2020-04-01 00:00:00.000;B                 ;B1
994693;ZT             ;                4120.00000000000000000000;2020-04-01 00:00:00.000;B                 ;B1
994696;ZT             ;                450.00000000000000000000;2020-04-01 00:00:00.000;B                 ;B1
326629;ZB             ;                 36.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
390332;ZB             ;                 440.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
329225;ZB             ;                 36.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
390332;ZB             ;                 440.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
329225;ZB             ;                 440.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
390332;ZB             ;                 440.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
949269;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949362;ZT             ;                 412.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949326;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
949945;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
922423;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
923935;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
926692;ZT             ;                  6.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
926289;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
926293;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
926839;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938580;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938582;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938585;ZT             ;                  6.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938592;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938598;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938599;ZT             ;                  6.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938603;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938609;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938605;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938640;ZT             ;                 40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938643;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938649;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938649;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938620;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
938623;ZT             ;                 400.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938622;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938634;ZT             ;                 54.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938699;ZT             ;                 4040.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938654;ZT             ;                 412.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938659;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938668;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938620;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938623;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938689;ZT             ;                 49.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938698;ZT             ;                  9.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B6
938200;ZT             ;                 45.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938205;ZT             ;                 46.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938206;ZT             ;                 49.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
938244;ZT             ;                 44.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B15
939500;ZB             ;                 60.00000000000000000000;2019-04-19 00:00:00.000;B                 ;B3
390826;ZB             ;                 400.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
329225;ZB             ;                 404.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
329225;ZB             ;                 36.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
326629;ZB             ;                 36.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
994529;ZT             ;               44406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994528;ZT             ;                356.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994529;ZT             ;               44406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994582;ZT             ;               44406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994590;ZT             ;               47406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994595;ZT             ;               45406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994604;ZT             ;               43406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994609;ZT             ;               43406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994605;ZT             ;               45406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994602;ZT             ;               440406.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994585;ZT             ;               46406.00000000000000000000;2020-03-02 00:00:00.000;K                 ;B9
994586;ZT             ;               45406.00000000000000000000;2020-03-02 00:00:00.000;K                 ;B9
994596;ZT             ;               44406.00000000000000000000;2020-03-02 00:00:00.000;K                 ;B9
994592;ZT             ;               440406.00000000000000000000;2020-03-02 00:00:00.000;K                 ;B9
994646;ZT             ;               45406.00000000000000000000;2020-03-02 00:00:00.000;K                 ;B9
994622;ZT             ;               45406.00000000000000000000;2020-04-01 00:00:00.000;K                 ;B9
994629;ZT             ;               412406.00000000000000000000;2020-04-16 00:00:00.000;K                 ;B9
994630;ZT             ;               412406.00000000000000000000;2020-04-16 00:00:00.000;K                 ;B9
994529;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994529;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994582;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994583;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994590;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994595;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994604;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994609;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
994605;ZS             ;                4400.00000000000000000000;2020-02-03 00:00:00.000;K                 ;B9
